Date,Ticker,change,id
2020-05-15,IDX:NMX404010,99.4,15700
2020-05-15,IDX:NMX405010,98.53,15800
2020-05-15,IDX:NMX451010,99.73,16100
2020-05-15,IDX:NMX451020,99.03,16200
2020-05-15,IDX:NMX451030,100.43,16300
2020-05-15,IDX:NMX452010,100.33,16400
2020-05-15,IDX:NMX501010,99.03,17100
2020-05-15,IDX:NMX502010,99.05,17200
2020-05-15,IDX:NMX502020,99.25,17300
2020-05-15,IDX:NMX502030,99.01,17400
2020-05-15,IDX:NMX502040,99.39,17500
2020-05-15,IDX:NMX502050,99.2,17600
2020-05-15,IDX:NMX502060,100.75,17700
2020-05-15,IDX:NMX551020,99.0,18200
2020-05-15,IDX:NMX551030,100.39,18300
2020-05-15,IDX:NMX552010,99.76,18400
2020-05-15,IDX:NMX601010,98.65,19100
2020-05-15,IDX:NMX651010,99.84,20100
2020-05-15,IDX:NMX651020,99.85,20200
2020-05-15,LSE:888,99.38,15801
2020-05-15,LSE:AAF,100.53,12201
2020-05-15,LSE:AAL,99.59,18201
2020-05-15,LSE:ABF,98.38,16201
2020-05-15,LSE:ADM,98.95,14501
2020-05-15,LSE:AEP,100.3,16202
2020-05-15,LSE:AGK,100.03,17301
2020-05-15,LSE:AHT,99.95,17701
2020-05-15,LSE:AJB,100.31,14301
2020-05-15,LSE:ALFA,97.53,11101
2020-05-15,LSE:AMGO,96.51,14201
2020-05-15,LSE:AML,94.5,15101
2020-05-15,LSE:ANTO,100.04,18202
2020-05-15,LSE:AO.,105.37,15701
2020-05-15,LSE:APTD,98.96,11102
2020-05-15,LSE:ARW,94.36,14202
2020-05-15,LSE:ASCL,99.34,11103
2020-05-15,LSE:AUTO,100.93,11104
2020-05-15,LSE:AV.,98.51,14401
2020-05-15,LSE:AVON,100.65,17201
2020-05-15,LSE:AVST,99.65,11105
2020-05-15,LSE:AVV,99.3,11106
2020-05-15,LSE:AZN,100.28,13301
2020-05-15,LSE:BA.,99.4,17202
2020-05-15,LSE:BAB,98.44,17203
2020-05-15,LSE:BAG,98.91,16101
2020-05-15,LSE:BAKK,99.89,16203
2020-05-15,LSE:BARC,98.45,14101
2020-05-15,LSE:BATS,100.52,16301
2020-05-15,LSE:BBY,98.67,17101
2020-05-15,LSE:BDEV,97.96,15301
2020-05-15,LSE:BEZ,96.77,14502
2020-05-15,LSE:BHP,100.55,18203
2020-05-15,LSE:BIFF,99.37,20201
2020-05-15,LSE:BKG,98.8,15302
2020-05-15,LSE:BME,100.46,15702
2020-05-15,LSE:BMY,99.59,15601
2020-05-15,LSE:BNZL,99.8,17401
2020-05-15,LSE:BOWL,98.88,15802
2020-05-15,LSE:BOY,98.49,18204
2020-05-15,LSE:BP.,98.75,19101
2020-05-15,LSE:BRBY,99.05,15501
2020-05-15,LSE:BT.A,100.6,12202
2020-05-15,LSE:BVC,104.02,12101
2020-05-15,LSE:BVIC,99.52,16102
2020-05-15,LSE:BWY,98.06,15303
2020-05-15,LSE:CARD,94.58,15703
2020-05-15,LSE:CARR,99.14,16204
2020-05-15,LSE:CBG,98.93,14102
2020-05-15,LSE:CCC,100.34,11107
2020-05-15,LSE:CCH,99.12,16103
2020-05-15,LSE:CCL,99.05,15803
2020-05-15,LSE:CCR,98.78,16104
2020-05-15,LSE:CEY,101.13,18301
2020-05-15,LSE:CHG,99.38,17204
2020-05-15,LSE:CINE,98.48,15804
2020-05-15,LSE:CKN,100.66,17702
2020-05-15,LSE:CLG,100.93,17601
2020-05-15,LSE:CMCX,99.68,14302
2020-05-15,LSE:CNA,98.05,20202
2020-05-15,LSE:CNE,98.55,19102
2020-05-15,LSE:COA,98.95,17402
2020-05-15,LSE:COST,97.65,17102
2020-05-15,LSE:CPG,96.77,15201
2020-05-15,LSE:CPI,98.17,17602
2020-05-15,LSE:CRDA,99.88,18401
